Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Charge ID [Internal],Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
White,Male,39,Newton Correctional Facility,Prison,2019,2022,05/19/2014,07/08/2018,49,Released to Special Sentence,20263934,C Felony,Violent,Sex,false,,,,,,,,
White,Male,59,Districts/Compact Regions,Work Release,2019,2022,03/22/2018,07/19/2018,3,Parole Granted,20161654,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Female,40,Districts/Compact Regions,Work Release,2019,2022,10/12/2018,11/20/2018,1,Parole Granted,20337634,C Felony,Violent,Sex,false,,,,,,,,Low
White,Male,53,Iowa Medical & Classification Center,Prison,2019,2022,09/08/2017,10/18/2018,13,Parole Granted,20417835,D Felony,Violent,Assault,false,,,,,,,,Low
White,Male,53,Fort Dodge Correctional Facility,Prison,2019,2022,10/04/2018,05/08/2019,7,Parole Granted,20478986,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Moderate
Hispanic,Male,39,Newton Correctional Facility,Prison,2019,2022,07/31/2018,08/14/2018,0,Discharged - Expiration of Sentence,20427277,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Male,39,Clarinda Correctional Facility,Prison,2019,2022,06/29/2018,02/19/2019,7,Parole Granted,20460840,D Felony,Drug,Drug Possession,false,,,,,,,,Low
Black,Male,56,North Central Correctional Facility,Prison,2019,2022,05/25/2017,02/22/2019,20,Parole Granted,20403108,B Felony,Drug,Trafficking,false,,,,,,,,High
Black,Male,53,Iowa Medical & Classification Center,Work Release,2019,2022,12/28/2018,03/18/2019,2,Parole Granted,20346726,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,55,Districts/Compact Regions,Work Release,2019,2022,08/02/2018,12/12/2018,4,Parole Granted,912955,B Felony,Drug,Trafficking,false,,,,,,,,Low
Black,Male,54,Mount Pleasant Correctional Facility,Prison,2019,2022,08/27/2018,05/13/2019,8,Parole Granted,20262716,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,61,Newton Correctional Facility,Prison,2019,2022,04/15/2005,07/18/2018,159,Discharged - Expiration of Sentence,765722,C Felony,Violent,Sex,false,,,,,,,,
White,Male,44,Districts/Compact Regions,Work Release,2019,2022,01/30/2018,08/01/2018,6,Parole Granted,20399204,D Felony,Property,Vandalism,false,,,,,,,,High
White,Male,41,Clarinda Correctional Facility,Prison,2019,2022,01/08/2018,11/28/2018,10,Discharged - Expiration of Sentence,20381814,D Felony,Public Order,OWI,false,,,,,,,,Low
Black,Male,42,Districts/Compact Regions,Work Release,2019,2022,06/26/2018,10/10/2018,3,Parole Granted,20402021,D Felony,Violent,Assault,false,,,,,,,,Low
White,Male,39,Anamosa State Penitentiary,Prison,2019,2022,07/30/2018,01/03/2019,5,Parole Granted,20360107,Aggravated Misdemeanor,Public Order,Alcohol,false,,,,,,,,Low
Black,Male,54,Newton Correctional Facility,Prison,2019,2022,05/25/2018,01/23/2019,7,Parole Granted,20333149,C Felony,Drug,Trafficking,true,New Charge,805,26.8,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
White,Male,46,Fort Dodge Correctional Facility,Prison,2019,2022,11/22/2016,01/10/2019,25,Parole Granted,20008825,B Felony,Other,Other Criminal,false,,,,,,,,High
White,Male,54,Iowa Medical & Classification Center,Prison,2019,2022,12/06/2018,03/24/2019,3,Discharged - Expiration of Sentence,20432270,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,Low
